caption,tags,quote,actual_quote,child_len
"Every morning, Current job, older male coworker to me.","['gender', 'xs']",“Heyyyyy Little Girl!”,Heyyyyy Little Girl!,3
(via microaggressions),"['xs', 'race']","“I’m probably such a racist, but a black man dressed as Santa is just wrong.”","I'm probably such a racist, but a black man dressed as Santa is just wrong.",15
"My company’s CEO, after hearing me mention my family’s continued our longstanding tradition of making tamales for the holidays.","['xs', 'race', 'ethnicity']","“You people make a lot of those, don’t you?”","You people make a lot of those, don't you?",9
Apparently racial diversity is strictly the domain of white people.,"['xs', 'race']","“If your dad is black, why don’t you have the hair? Or the nose?”","If your dad is black, why don't you have the hair? Or the nose?",14
"Every day in class & I don’t have a car. Makes me feel annoyed, poor, angry.","['xs', 'class']",“Where are you parked?”,Where are you parked?,4
Many people when they find out my boyfriend is Chinese.,"['xs', 'race', 'gender']","“So, is it true what they say about Asians?”","So, is it true what they say about Asians?",9
"My brother, a straight white man who has never had to fear discrimination in the workplace.","['xs', 'sexuality']","“I mean it’s morally wrong to fire people because they’re gay, but that doesn’t mean that it should be illegal!”","I mean it's morally wrong to fire people because they're gay, but that doesn't mean that it should be illegal!",20
"Asked repeatedly to me, a 25-year-old female, by a middle-aged man whose wife I was assisting after her eye test. I didn’t have the experience of some of my ex-colleagues, but I was still considered by my ex-boss to be a good dispenser, and even though the patient was a bit fussy, her prescription and the type of glasses she wore were well within the scope of what I did every day. I knew he was a dickhead and just kept answering with a short, “yes,” but I still felt angry at the assumption that I was incompetent purely because I’m a woman who happens to look younger than her age. And people try to tell me that there’s no need for feminism because sexism doesn’t exist in Australia anymore…","['xs', 'gender', 'age']",“Are you sure you’re old enough to work here?”,Are you sure you're old enough to work here?,9
Informal party. The speaker wife of a colleague of mine in the PhD program.,"['xs', 'race', 'nationality']",“Do you celebrate birthdays in your country?”,Do you celebrate birthdays in your country?,7
My white dad. Answering the phone. Every time. I can’t get him to understand why its offensive.,"['xs', 'race']",“Herro prease.”,Herro prease.,2
"Checking in at a hotel in Myrtle Beach, SC.  The attendant checked our IDs for our age (we are both 23, and you have to be 21 to get a room), and noticed our last names are different.  When we got married two years prior, I did not change my last name due to having a high profile job where the public already recognizes me by my maiden name.","['xs', 'gender']","“You have different last names on your driver licenses.  At our hotel, we don’t allow anyone to stay in the same hotel room unless they are married.”","You have different last names on your driver licenses. At our hotel, we don't allow anyone to stay in the same hotel room unless they are married.",27
"My mom, constantly trying to drag the femininity out of her butch daughter.","['xs', 'gender']",“You like little cute dogs. That’s feminine.”,You like little cute dogs. That's feminine.,7
"Quote from Paul Feig, director of Bridesmaids. In the article about the movie, they had quotes from him and the only other topic was Jon Hamm’s involvement in the movie. Made me angry that even though the movie stars 6 women, they go to a man to “decode” women based on his viewing of romcoms; as if that is all we are interested in. May 2011 Made me feel pissed, generalized, infantilized.","['xs', 'gender', 'sexism']",“I’ve always wanted to do female-oriented entertainment. I’ve always related to women more than guys… I watched a ton of romantic comedies.”,I've always wanted to do female-oriented entertainment. I've always related to women more than guys … I watched a ton of romantic comedies.,23
"A common reaction to stories about middle aged men hitting on me while I’m at work. Silly me, I wanted to be seen as a professional working for this company but instead they see me as a sex object. What am I complaining about?! I am 24 yrs old, working at trade shows for my sales job. Makes me feel angry, belittled, frustrated.","['xs', 'gender']","“Take it as a compliment! It just means you’re young and attractive, you’ll be wishing for that attention in 20 years.”","Take it as a compliment! It just means you're young and attractive, you'll be wishing for that attention in 20 years.",21
,"['xs', 'mind']",“People are so bipolar these days.”,People are so bipolar these days.,6
Guy’s reaction to me I saying didn’t like watching soccer at a bar. Made me feel like people expect me to constantly represent my entire “gender” and that this a responsibility no one should have.,"['xs', 'gender']",“Well that’s ok–you’re a girl.”,Well that's ok – you're a girl.,7
"A co-worker, middle aged white woman.","['xs', 'race']",“I feel like not being attracted to someone because they are black or white is the same as having a preference with hair color.”,I feel like not being attracted to someone because they are black or white is the same as having a preference with hair color.,24
A black girl snapped at me when she asked me for help on some calculus homework and I said I don’t know how. I hate math and can’t wrap my head around higher math. Made me feel angry and ready to fight.,"['xs', 'race']",“You should know this! You’re Asian!”,You should know this! You're Asian!,6
Drunken words of a European white male I (African American) approached for a dance in an NYC bar. First words out of his mouth.,"['xs', 'race']",“I’m surprised you’re not in jail right now.”,I'm surprised you're not in jail right now.,8
"The woman assigned to watch me, after I was admitted to the ER due to suicidal tendencies. I felt hopeless, exasperated, and really confused as to why she thought that would be helpful.","['xs', 'gender']","“You’re so pretty, what are you doing here?”","You're so pretty, what are you doing here?",8
in the Weezer song “El Scorcho.” Made me feel singled out.,"['xs', 'gender', 'race', 'ethnicity']",“Goddamn you half-Japanese girls”,Goddamn you half-Japanese girls,4
"My dad while watching American Idol, about a contestant who was autistic with Tourette’s Syndrome. This is not the first time he has armchair diagnosed, either attributing mental illness toward awkward or high-energy behavior, or discounting it because they “look/act normal.”My dad is neurotypical, while I have autism myself; the kicker is that I do get “I can’t tell!” a lot. Made me feel angry, frustrated, even erased.","['xs', 'ability']",“He doesn’t look like he has Tourette’s.”,He doesn't look like he has Tourette's.,7
My college roommate when I was a freshman living in the dorms. Made me terrified to come out.,"['xs', 'gender', 'sexuality']","“I love gay guys, they’re so much fun! I would love to have a gay guy best friend, but lesbians are just annoying.”","I love gay guys, they're so much fun! I would love to have a gay guy best friend, but lesbians are just annoying.",23
"Whispered to me last night by a male acquaintance at a party. Everyone at the party works for the same very large male-dominated organization. Everyone was very drunk, including me, which should not matter. I am 23, in Switzerland; this happened last night. It made me feel like shit.","['xs', 'gender']",“This is not the way the only woman at the party should behave.”,This is not the way the only woman at the party should behave.,13
,"['xs', 'gender', 'genderqueer']","“I’m male, and am asking this question to non-binary identified people. Why do you give so much of a crap? Why can’t you just lighten up, let the thread happen, and ignore it?”","I'm male, and am asking this question to non-binary identified people. Why do you give so much of a crap? Why can't you just lighten up, let the thread happen, and ignore it?",33
,"['xs', 'sexuality']",“I’ve always wanted a gay best friend.”,I've always wanted a gay best friend.,7
"Customer at work talking to my co-workers and I about the flu he’d just had. Made me feel angry, awkward, helpless to say anything because I was at work.","['xs', 'race']","“I hate to sound racist, but I think it’s because we have so many Chinese students here.  These diseases all originate from pigs in China.”","I hate to sound racist, but I think it's because we have so many Chinese students here. These diseases all originate from pigs in China.",25
My white friend said this during a conversation about local dances for teens in our area. Being a black girl myself I was extremely caught off guard.,"['xs', 'gender', 'race']",“Whenever I see a group of black guys near me I run away or stop dancing…I don’t want one of them to start dancing with me or try to do something to me. Black guys are like so scary!”,Whenever I see a group of black guys near me I run away or stop dancing … I don't want one of them to start dancing with me or try to do something to me. Black guys are like so scary!,41
"A straight, agnostic classmate. I felt alienated and invalidated.","['xs', 'sexuality', 'gender', 'religion']","“What do you mean, you’re a Christian?  You’re a lesbian!  That’s just masochistic!”","What do you mean, you're a Christian? You're a lesbian! That's just masochistic!",13
Our headteacher when he was telling off a girl in my class for having a skirt that was “too short.”,"['xs', 'gender', 'survivor', 'sexism', 'body']","“Well, there are girls who have been kidnapped and raped by paedophiles because they were wearing short skirts.”","Well, there are girls who have been kidnapped and raped by paedophiles because they were wearing short skirts.",18
"A straight cismale friend’s status quoting his straight cisgirlfriend on Facebook. Made me feel angry, belittled, confused - this is supposedly a liberal-leaning friend of mine - and sad that even “accepting” people will never see me as fully okay, fully human.","['xs', 'gender', 'sexuality']","“There is a difference between not believing in gender roles, and encouraging your kid to be a homosexual.”","There is a difference between not believing in gender roles, and encouraging your kid to be a homosexual.",18
"The first words out of the mouth of a white man in Washington, DC, after my mother gave a presentation. My mother has a very strong Southern accent. It made her feel completely belittled, and like she couldn’t be taken seriously in the professional world.","['xs', 'language', 'region', 'race']",“Wow. You speak so quickly and you enunciate your words so well!”,Wow. You speak so quickly and you enunciate your words so well!,12
My mother-in-law telling me what a relative I had just met thought of me. I wanted to crawl under a rock,"['xs', 'body']",“She thought you were wonderful and not as fat as everyone had told her.”,She thought you were wonderful and not as fat as everyone had told her.,14
"As justification for a lack of characters of color in a online discussion of American Girl. Apparently people of other races and ethnicities only show up when needed in American history. Made me feel irritated, ignored, marginalized.","['xs', 'gender', 'race']","“America has a white majority, and a far larger one in most of the country’s past, so why wouldn’t the American Girls [dolls] have one as well?”","America has a white majority, and a far larger one in most of the country's past, so why wouldn't the American Girls [dolls] have one as well?",27
This boy said this after spilling a drink all over his new suede shoes.,"['xs', 'mind', 'ability']","“Wow, I’m so autistic.”","Wow, I'm so autistic.",4
"A remark I’ve heard several times in conversations about countries like Mexico, Guatemala, Nigeria, Pakistan, the entire continent of Africa/“over there.” Exotifying everyone in a certain country, although a seemingly positive remark it is still has very strong (negative) racial implications","['race', 'nationality', 'xs']",“People there are beautiful.”,People there are beautiful.,4
"A mid-30’s white guy as we walk out of a subway station. I’m Asian American (specifically Laotian/Vietnamese/Mongolian), but wasn’t speaking out loud to anyone and would not have noticed him until that interrupted moment.","['xs', 'race', 'ethnicity']",“Do you speak Chinese?”,Do you speak Chinese?,4
Response from the Board of Directors to my request for anti-sexism and anti-transphobia for a queer organization I belong to.,"['xs', 'trans', 'sex']","“Can you provide specific examples of the sexism and transphobia you have experienced, so the board can decide if training is necessary.”","Can you provide specific examples of the sexism and transphobia you have experienced, so the board can decide if training is necessary.",22
"White 20-something co-worker, telling me the reason she doesn’t believe our supervisor can be racist or act in racist manner.","['race', 'xs']","“She can’t be racist… she DOES have a Mexican husband, you know.”","She can't be racist … she DOES have a Mexican husband, you know.",13
A friend after I mentioned that I never got the hang of AP Calculus in high school and didn’t pass the exams.,"['xs', 'race']","“What? But you’re Asian, you’re supposed to be smart!”","What? But you're Asian, you're supposed to be smart!",9
My fair skinned aunt,"['race', 'xs', 'gender']","“WELL, IT’S OBVIOUS THAT YOU MUST BE PUTTING OUT. WHY WOULD A NICE, FAIR-SKINNED GUY WANT TO TALK TO SOMEONE AS BLACK AS YOU ARE? YOU’VE DONE WELL!”","WELL, IT'S OBVIOUS THAT YOU MUST BE PUTTING OUT. WHY WOULD A NICE, FAIR-SKINNED GUY WANT TO TALK TO SOMEONE AS BLACK AS YOU ARE? YOU'VE DONE WELL!",28
"In an argument with a male friend, during which my explicit statements of my feelings and needs somehow became “obscure” because they weren’t waht he wanted to hear. Made me incandescently angry, that even a close friend would look at me only through the lens of my biology.","['xs', 'gender']","“You communicate like a girl, I just don’t get it. I’m a guy. You need to just say what you mean!”","You communicate like a girl, I just don't get it. I'm a guy. You need to just say what you mean!",21
Another female professional school student.,"['gender', 'xs']","“I’m surprised your so smart, because you’re very girly and silly.  I see you as more of a customer service worker rather than a professional; I can’t picture you as a professional.”","I'm surprised your so smart, because you're very girly and silly. I see you as more of a customer service worker rather than a professional; I can't picture you as a professional.",32
"A response from a man in a group I had approached to sign a petition to get President Obama on our state’s ballot. I told him it was none of his business.  It made me feel trivialized and diminished, as if my work on behalf of the president is “less” because I’m a woman. It was the second time I’d been sexually harassed while collecting signatures.","['xs', 'gender']","“Are you married? Are you single? If you’re single, go out on a date with me. Then I’ll sign. Are you single?”","Are you married? Are you single? If you're single, go out on a date with me. Then I'll sign. Are you single?",22
"A man in my class, to a woman he had interrupted six or seven times.","['xs', 'gender']",“Don’t interrupt me.”,Don't interrupt me.,3
"My fellowship advisor, when I spoke about my concerns of not having any publications at our check-in meeting. I’m a PhD candidate and felt invalidated, like the hard work I’d done didn’t mean anything because my value came down to being a Native American woman.","['xs', 'race', 'gender']",“You’ll have no problems getting interviews because of who you are.”,You'll have no problems getting interviews because of who you are.,11
White girl,"['race', 'class', 'xs']","“I hate when parents give their kids ghetto names. Shaniqua, Laquisha… how could you do that to your kid?”","I hate when parents give their kids ghetto names. Shaniqua, Laquisha … how could you do that to your kid?",20
"David Starkey, historian, blaming English riots on black culture. I was stunned.","['xs', 'race']",“The whites have become black.”,The whites have become black.,5
Girl from Arizona to me on a New York rooftop.,"['xs', 'race', 'ethnicity']","“I was kidding. I know you’re Puerto Rican, not Mexican. And I think that’s pretty sexy.”","I was kidding. I know you're Puerto Rican, not Mexican. And I think that's pretty sexy.",16
Potential employer to me while walking into an interview,"['race', 'gender', 'xs']",“We didn’t expect you - we thought based on your name you were a black male.”,We didn't expect you - we thought based on your name you were a black male.,16
"My friend, less than ten minutes after we BOTH complained about people using “gay” as a derogatory adjective.","['xs', 'sexuality']",“This IS GAY. Everyone in the class is doing as badly as me!”,This IS GAY. Everyone in the class is doing as badly as me!,13
my boss,"['xs', 'sexuality']","“PINK NAIL POLISH, EH? WHY DON’T YOU JUST GET A RAINBOW FLAG TATTOOED ON YOUR FOREHEAD.”","PINK NAIL POLISH, EH? WHY DON'T YOU JUST GET A RAINBOW FLAG TATTOOED ON YOUR FOREHEAD.",16
"Said by a conservative white straight cis-male in the student lounge today. My college is known for having a very high LGBTQ population. Made me feel frustrated, tired.","['xs', 'sexuality', 'gender']","“I’m fine with gays, and I’m fine with lesbians, but it’s the people who can’t decide that bother me. Like, the ones who can’t decide which ones they like more, or what gender they are. You have to pick a side people!”","I'm fine with gays, and I'm fine with lesbians, but it's the people who can't decide that bother me. Like, the ones who can't decide which ones they like more, or what gender they are. You have to pick a side people!",42
"My boss, when I described how my mental illness made the concept of functional adulthood seem impossible.","['xs', 'ability']",“You’d make a good possession.”,You'd make a good possession.,5
A slender co-worker. I am overweight. At work. Made me feel ashamed and angry.,"['xs', 'body']","“If I go to eat somewhere, and there are a bunch of fat people in line, I leave. I just lose my appetite.”","If I go to eat somewhere, and there are a bunch of fat people in line, I leave. I just lose my appetite.",23
My white college roomate when she found out that I was a Classical Music major.,"['xs', 'race']",“You’re a white girl in a black girls body.”,You're a white girl in a black girls body.,9
"A white man says to me with a smirk after I repeatedly refuse to walk through the door he went out of his way to hold for me and my friend (we are both women).  Made me feel powerless and angry, as if my words-my completely validated decline of his offer-did not matter to him. I never asked for his chivalry.","['xs', 'gender', 'sexism']",“I don’t know why you insist on making chivalry so difficult.”,I don't know why you insist on making chivalry so difficult.,11
"Little white girl in the pool in Arkansas when I was 8 years old. I’m Cuban/White and look racially ambiguous. Made me feel confused, hurt.","['xs', 'race']",“Are you Chinese? Then what ARE you? Because you don’t look like us.”,Are you Chinese? Then what ARE you? Because you don't look like us.,13
"White middle-class suburbanites remarking on the new employee I hired at my coffee shop, who just happens to be black.  Funny how they didn’t notice the last two new employees, who are white…","['xs', 'race']","““Oh, I see you have someone new here!” *nervous laughter*”","""Oh, I see you have someone new here!"" * nervous laughter *",12
,"['xs', 'race']",“He’s hot for an Asian.”,He's hot for an Asian.,5
My coworker after a patient came in speaking Spanish.,"['xs', 'race', 'language']",“Look at the color of your skin! You should know Spanish!”,Look at the color of your skin! You should know Spanish!,11
"Said by a female newscaster on a major network morning show - in Massachusetts, where same sex marriage has been legal for *years*. Because all women are married, and only to men - and men must love meat, not veggies.","['xs', 'gender', 'sexuality']",“Meatless Mondays are a healthy addition to your week - the issue is just convincing your husband!”,Meatless Mondays are a healthy addition to your week - the issue is just convincing your husband!,17
"Middle school art teacher, passing out paint for an art project. Made me feel shocked, isolated, hurt. Rural middle school with a 99% white population, March 7, 2011. Made me feel shocked, isolated, and hurt.","['xs', 'race']","“Who needs skin-colored paint? Ok. Now who needs paint that isn’t skin-colored, like purple or brown?”","Who needs skin-colored paint? Ok. Now who needs paint that isn't skin-colored, like purple or brown?",16
One of my facebook friends on their status and in their comment on the status. I am a woman who has had sex for money.,"['xs', 'gender']",“What’s up with all these girls dressing like streetwalkers lately?  If women don’t want to be known as sex objects they shouldn’t dress like one.”,What's up with all these girls dressing like streetwalkers lately? If women don't want to be known as sex objects they shouldn't dress like one.,25
My boyfriend’s Filipino mother’s response when he told her he had a new girlfriend. Age 21 & made me angry.,"['xs', 'race', 'internalization']",“She’s not Black is she?”,She's not Black is she?,5
"A cismale friend of a friend of mine, upon learning I’m trans. He made a vague gesture about his torso and genitals. This was our first meeting and he apparently didn’t understand it was none of his business whether or not I wanted or had already had surgery. I felt exposed, embarrassed, objectified.","['xs', 'trans']",“So you’re done with all … that?”,So you're done with all … that?,7
My employer (who doesn’t provide me with health insurance) talking about my weight gain. Made me angry.,"['xs', 'body']",“You really should do something about your health…”,You really should do something about your health …,9
"My boss, describing a former employee to a customer. She recently fired a butch woman who was not “cute” for reasons I think were at least partially tied to her gender presentation. At work - I am a trans man who is not out on the job. Made me feel defensive, uncomfortable, like she thinks a woman’s worth is in her appearance only.","['xs', 'gender']",“She’s very butch… but cute.”,She's very butch … but cute.,6
yearbook comment from a high school friend (via microaggressions)(via microaggressions),"['xs', 'body', 'reblog']","“Have a good life, to a good but fat kid!”","Have a good life, to a good but fat kid!",10
white cis hetero guy after I called out homophobia. So generous with his backhanded compliments,"['sexuality', 'gender', 'xs']","“I thought you were shallow and silly cuz you’re always dancing and smiling, but when you spoke up at the open mic I realized you have meaningful things to say.”","I thought you were shallow and silly cuz you're always dancing and smiling, but when you spoke up at the open mic I realized you have meaningful things to say.",30
"A friend when she saw my one year old son wearing leggings under his jeans in the winter. Because clearly that’s what makes boys fancy other boys, legwear in infancy.","['xs', 'sexuality']",“Why is he wearing leggings? Bit gay isn’t it? You wouldnt catch my boy wearing some of those.”,Why is he wearing leggings? Bit gay isn't it? You wouldnt catch my boy wearing some of those.,18
"A male friend about my job as an editor at our university’s gender studies magazine in Switzerland. I was speechless, and I actually still don’t know an answer. I just don’t. But now thinking about it, I’m just fucking angry. (via microaggressions)","['xs', 'gender']",“I really don’t understand why you are so invested in women’s rights and fighting sexism and stuff - these things clearly don’t affect you.”,I really don't understand why you are so invested in women's rights and fighting sexism and stuff - these things clearly don't affect you.,24
"My high school teacher, talking about Les Miserables.","['xs', 'gender']","“There’s fighting, for you boys, and romance, for you ladies.”","There's fighting, for you boys, and romance, for you ladies.",10
,"['xs', 'race', 'ethnicity']","“Wow, you’re Mexican? I had no idea! You’re so lucky you look white.”","Wow, you're Mexican? I had no idea! You're so lucky you look white.",13
"A girl who wanted to see what color my gums were. I was 14, in 9th grade religion class.","['xs', 'race']",“Smile.”,Smile.,1
My high school history teacher.,"['xs', 'religion', 'eurocentricism']","“Before Martin Luther, everyone in the world was Catholic.”","Before Martin Luther, everyone in the world was Catholic.",9
My boyfriend’s mom,"['xs', 'gender', 'race']","“YOU’RE SO ARTICULATE… AND BEAUTIFUL IN AN EXOTIC WAY, EVEN THOUGH YOU’RE DARK…”","YOU'RE SO ARTICULATE … AND BEAUTIFUL IN AN EXOTIC WAY, EVEN THOUGH YOU'RE DARK …",15
International Student to me as a compliment. I’m 24 and in an MBA program in the US with a high proportion of international students. I was speechless. I am an Asian American and I felt like I was told I wasn’t an American because I don’t act like a stereotypical (whatever that is) American.,"['xs', 'race', 'nationality']",“We don’t consider you an American. You don’t act or think like all the other domestic students.”,We don't consider you an American. You don't act or think like all the other domestic students.,17
"My best friend in a public facebook post. I’m not going to change my name, and my husband encouraged me in that decision. And by the way, I am a feminist. Made me feel unimportant, and not my own person.","['xs', 'gender']",“You’ve been married for two weeks! When are you changing your facebook name to Mrs. [Husband’s name]?? People are going to think you’re a feminist.”,You've been married for two weeks! When are you changing your facebook name to Mrs. [Husband's name]?? People are going to think you're a feminist.,25
A male cyclist as he passed me on my bike commute home (i.e. not during a race. Also I’m 32 years old.,"['xs', 'gender']","“You’re going to have go faster than that if you want to be in front, girl!”","You're going to have go faster than that if you want to be in front, girl!",16
"Said to me by my high school French teacher after class one day.  I am profoundly deaf and taking a course in my second language, but clearly, I’m not making enough of an effort to understand the people mumbling softly at the back of the class. I was 15, late 90s, in a Quebec high school. Made me feel frustrated, inadequate, furious.","['xs', 'body']","“Why do you watch your interpreter so much in class?  You should try harder to listen to the other students when we have discussions… it’ll help improve your hearing, don’t you think?”","Why do you watch your interpreter so much in class? You should try harder to listen to the other students when we have discussions … it'll help improve your hearing, don't you think?",33
Random men on the street who feel like they can waste my time while I’m on my way to work. This happens to me almost every day in NYC. Makes me feel objectified.,"['xs', 'gender']",“Hey girl! Come talk to me!”,Hey girl! Come talk to me!,6
"My boss, complaining about company policy to have “holiday” activities instead of “Christmas” ones.","['xs', 'religion']",“Wouldn’t it make it so much easier if everyone celebrated Christmas?”,Wouldn't it make it so much easier if everyone celebrated Christmas?,11
"Said often by mainly white middle-class students at my university in reference to anything viewed as “black,” “poor and black,” or “bad.”","['xs', 'race', 'class']",“That’s ghetto!”,That's ghetto!,2
"35 year old man, watching the same football game as I was in a sports bar.","['xs', 'race', 'gender']",“Black girls don’t like football. You’re only watching to get guys.”,Black girls don't like football. You're only watching to get guys.,11
Another female professional school student.,"['gender', 'xs']","“I’m surprised your so smart, because you’re very girly and silly.  I see you as more of a customer service worker rather than a professional; I can’t picture you as a professional.”","I'm surprised your so smart, because you're very girly and silly. I see you as more of a customer service worker rather than a professional; I can't picture you as a professional.",32
"The implication being that the only possible way to be a good/moral/nice person is to have a religion.  This is often followed up by statements such as “Are you sure?” or “No, you can’t be, because you don’t behave like an atheist” or “Well, have you ever considered [insert person’s religious denomination here].” Makes me feel frustrated, misunderstood, unheard.","['xs', 'religion']",“An atheist?!  But you are so nice!”,An atheist?! But you are so nice!,7
,"['xs', 'race']","“Anyway, [the teacher] says if you’re not black or Latin@, the standards are higher. I’m so jealous of [biracial girl]; she gets to put ‘black,’ but she still looks white.”","Anyway, [the teacher] says if you're not black or Latin @, the standards are higher. I'm so jealous of [biracial girl]; she gets to put 'black,' but she still looks white.",31
"My straight, liberal mother when I told her I plan to join LGBT youth groups next year. I’m 20 years old. Made me feel invalidated, confused, misunderstood, upset, defensive.","['xs', 'sexuality']",“Don’t become one of those militant gay people.”,Don't become one of those militant gay people.,8
"My mom [translation from Russian]. November 2008, after I told her I was registering to vote in California (despite going to college out of state) because there were some issues I cared about on the ballot (i.e. Prop 8). In reference to my having come out to her as bi earlier that fall. Made me feel frustrated at her certainty that I do not know myself, that my identity is shaped by political propaganda.","['xs', 'sexuality', 'gender']",“I don’t care if some gays somewhere get married. What I care about is when this begins to affect my children.”,I don't care if some gays somewhere get married. What I care about is when this begins to affect my children.,21
,"['race', 'xs', 'class', 'ethnicity']",“You’re so articulate!”,You're so articulate!,3
"A girl in my gender studies class, responding to a question about the ‘supposed’ difference between sex and gender. I  am in class after a night of two hours of sleep because I was trying to comfort my  partner who was having incredibly bad dysphoria. I can’t say anything because I’m afraid I’ll start crying.","['xs', 'gender']","““After you strip off his makeup and clothes, biologically he’s still a man”.”","""After you strip off his makeup and clothes, biologically he's still a man"".",13
"Mother, after I called her upset about being sexually assaulted.","['xs', 'gender']",“You should just get over it and get used to it sweetie.”,You should just get over it and get used to it sweetie.,12
"This is OFFENSIVE. I am NOT your girlfriend, I am NOT a sex toy, I do NOT deserve to be degraded in front of all your friends by you calling me this. In high school.","['xs', 'gender']",“Hey sexy.”,Hey sexy.,2
"Sign in dressing room. When I go to the store personnel and point out that the sign is sexist, the lady tells me it’s a joke and looks at me as if I’m crazy. I’m sorry if I think that in the 21st century women can hold jobs or make decisions without men. I’m sorry that I don’t believe sexism is funny. I am 18 year old black girl in Pennsylvania. Made me feel furious.","['xs', 'gender', 'sexuality']",“Your husband just called and said that you can buy whatever you want.”,Your husband just called and said that you can buy whatever you want.,13
My friend’s Twitter.,"['xs', 'gender', 'patriarchy']","“Sluttiness is just a sign of desperation, but its not like I don’t like it.”","Sluttiness is just a sign of desperation, but its not like I don't like it.",15
Shop assistant in a fairly large chain store in Australia.,"['body', 'xs']",“Are you shopping for yourself or for someone thin?”,Are you shopping for yourself or for someone thin?,9
"Another teacher in my middle school when he stopped by to talk to my teacher, who was leading an elective physics and biology class. I was the only girl enrolled that term. I was 13 and it made me feel enraged, demeaned, and worthless.","['xs', 'gender']",“Just one nurse for all these doctors?”,Just one nurse for all these doctors?,7
"Question asked by a “friend” in high school to me, a bi-racial (half black/half white) teen.","['xs', 'race']",“Would it bother you if I called you nigger?”,Would it bother you if I called you nigger?,9
"I was working door-to-door in Iowa after 9/11. I was 19. The thing was, you could tell she totally meant it as a compliment.","['xs', 'ethnicity', 'race']",“You’re Middle Eastern? Really? It’s so good to know there are actually decent Middle Eastern people out there.”,You're Middle Eastern? Really? It's so good to know there are actually decent Middle Eastern people out there.,18
Security guard as he looks into my small pursue (that can barely hold my cellphone).,"['race', 'xs']",“Where is the bomb?”,Where is the bomb?,4
"An employee of a photo processing store to my father as he walks in with my younger brother and me. Frustratingly enough, we are there for passport pics but I feel insulted because I’m sure he is only assuming that because we are Indian. I can’t imagine him asking white people the same question. Age 16, in the early ‘90s, in my small suburban hometown in the San Francisco East Bay. Made me feel frustrated, pigeonholed.","['xs', 'race']","“Let me guess … you’re here for passport photos, right?”","Let me guess … you're here for passport photos, right?",10
"A 40ish white man to me, a female college student.  It made me feel as though my only worth is in my appearance.","['xs', 'gender']",“You should be a fashion major.”,You should be a fashion major.,6
"As a young latina, this was expressed to me numerous times after displaying an ‘extensive’ vocabulary or my use of grammatically correct english. It also usually went hand in hand with “you’re not like the rest of them.” I felt angry, sad, despondent. I would go talk to my mom afterwards in my frustration and luckily she would tell me how wrong what they said was and that being intelligent was NOT exclusively ‘white’, supported with many examples of educated people of color.   (via microaggressions)(via microaggressions)",[],“You talk white.”,You talk white.,3
As if it was a switch we could just flip.,"['xs', 'gender', 'body']",“Anorexic girls should just eat.”,Anorexic girls should just eat.,5
,"['xs', 'gender', 'class']",“You’ll have to marry a rich man if you want to afford that!”,You'll have to marry a rich man if you want to afford that!,13
"A female co-worker, in regards to a sexual assault case at my university. I was shocked & angry.","['xs', 'gender', 'survivor']",“She’s just trying to have her Kobe Bryant moment.”,She's just trying to have her Kobe Bryant moment.,9
A friend about referring to me as a tranny. Made me feel awful. Like calling me slurs is okay because I’m trans and that I’m overreacting for being hurt by it.,"['xs', 'trans*']",“She’s too sensitive. Why should she get upset at me for calling her what she is?”,She's too sensitive. Why should she get upset at me for calling her what she is?,16
,"['xs', 'race', 'class']","“Oh my God! Yea, that shooting at Haas last week was so crazy! I feel like I go to a ghetto school now!”","Oh my God! Yea, that shooting at Haas last week was so crazy! I feel like I go to a ghetto school now!",23
,"['xs', 'race', 'gender', 'sexuality']",“I’m just not into [your race here] girls/guys. Sorry.”,I'm just not into [your race here] girls / guys. Sorry.,11
"From a relatively unknown person from my martial arts class. Besides that the condition of my body hair has nothing to do with her, it really angered me how she implied that lesbianism was something very undesirable.","['xs', 'gender', 'sexuality', 'body']","“I think you should shave your legs, because it makes you look like a lesbian.”","I think you should shave your legs, because it makes you look like a lesbian.",15
"Elderly male client says this to me regarding his wife trying to their banking.  I’m the female teller processing his transaction. I felt pissed off, devalued, and helpless because it’s at work and I can’t say anything.","['xs', 'gender']",“Men are just better at some things.  That’s just the way it is.  Like men are better at driving cars or flying airplanes.  But you sure look pretty.”,Men are just better at some things. That's just the way it is. Like men are better at driving cars or flying airplanes. But you sure look pretty.,28
My facebook newsfeed today.,"['xs', 'race']",“Asian toddlers are the cutest things in the woorld. Adopting a few on eBay. No… but seriously.”,Asian toddlers are the cutest things in the woorld. Adopting a few on eBay. No … but seriously.,18
Feminine women can’t be lesbian?,"['xs', 'gender', 'sexuality']",“But your too pretty too be gay!”,But your too pretty too be gay!,7
Friend’s response to me experiencing something along the lines of this microaggression.,"['xs', 'religion', 'gender', 'meta']","“You realise she was complimenting you, right? You get offended too easily.”","You realise she was complimenting you, right? You get offended too easily.",12
"A friend of mine, after telling them about a teacher failing me over a miscommunication. Said friend is one of the few people who knows that I am queer. Made me realize that this friend really doesn’t understand what it’s like to be queer. Almost made me feel like I wasn’t allowed to be angry at this statement, because they’d starting it off with ‘no offense.’","['xs', 'sexuality']","“No offense, but that’s seriously gay.”","No offense, but that's seriously gay.",6
,"['race', 'xs']","“Oh, you’re so exotic.”","Oh, you're so exotic.",4
