caption,tags,quote,actual_quote
"My close friend is Armenian, and her father has friends in the Armenian community in Watertown, much of which is located on Franklin. In these last 24 or so hours, one of his friends have received calls, threatening or yelling at him just for being Armenian. Allegedly, these calls have blamed Armenians for helping the Russians, though this man did not help the suspects at all. Like everyone else, he was only trying to lay low and stay safe. He has received at least 5 of such calls.","['xs', 'ethnicity', 'macro']","My close friend is Armenian, and her father has friends in the Armenian community in Watertown, much of which is located on Franklin. In these last 24 or so hours, one of his friends have received calls, threatening or yelling at him just for being Armenian. Allegedly, these calls have blamed Armenians for helping the Russians, though this man did not help the suspects at all. Like everyone else, he was only trying to lay low and stay safe. He has received at least 5 of such calls.",
"I’m from Ocala, FL and living in Boston. I just called my local newspaper in Florida to ask how they were being sensitive to anti-Islamic sentiment in their reporting of the Boston Incident… they accused me of being racist against southern Christians.","['race', 'region', 'xs']","I’m from Ocala, FL and living in Boston. I just called my local newspaper in Florida to ask how they were being sensitive to anti-Islamic sentiment in their reporting of the Boston Incident… they accused me of being racist against southern Christians.
I felt hurt, confused, saddened. Wish people didn’t feel the need to defend and were able to listen. Wished people understood racism in its contextual nature, recognizing that stereotyping and feeling violence because of your group membership are different. Made me feel good for addressing it, but potentially hypocritical for not just understanding that people can’t be blamed for what they haven’t had the chance to learn and dissect.",
"Upon having seen coverage of the Boston Marathon bombing, my mother, who is white, states, “Middle Easterns… always killing everybody.” I’m Middle Eastern, early 20s, and her son. My little sisters, who are South Asian were also in the same room, and they heard that. I felt very angry, unsafe, disappointed.","['race', 'xs']","Upon having seen coverage of the Boston Marathon bombing, my mother, who is white, states, “Middle Easterns… always killing everybody.” I’m Middle Eastern, early 20s, and her son. My little sisters, who are South Asian were also in the same room, and they heard that. I felt very angry, unsafe, disappointed.",
"I happen to have more body hair than most girls, and I choose not to shave. Every time someone - a friend, a schoolmate, anyone - says something about my legs or underarms, I want to go hide. Last summer, I finally gave in. I have begun waxing both my legs and my underarms. I feel more confident about wearing shorts and tank tops, but I also feel like I have “lost” the battle because I gave in to pressure.","['xs', 'gender', 'body']","I happen to have more body hair than most girls, and I choose not to shave. Every time someone - a friend, a schoolmate, anyone - says something about my legs or underarms, I want to go hide. Last summer, I finally gave in. I have begun waxing both my legs and my underarms. I feel more confident about wearing shorts and tank tops, but I also feel like I have “lost” the battle because I gave in to pressure.",
"Today one of my roomates bought supplies for the apartment, and texted everyone except for me (I’m the only black person living here) to ask them to chip in money for it. She then asked my best friend and other roomate, in regards to me: “do you think it will be hard to get the money out of her?” It wasn’t going to be, but now it sure as hell will be. Like because I’m black I’m automatically supposed to be poor/cheap.","['xs', 'race', 'class']","Today one of my roomates bought supplies for the apartment, and texted everyone except for me (I’m the only black person living here) to ask them to chip in money for it. She then asked my best friend and other roomate, in regards to me: “do you think it will be hard to get the money out of her?” It wasn’t going to be, but now it sure as hell will be. Like because I’m black I’m automatically supposed to be poor/cheap.",
"While working as a tutor at a charter high school that is predominantly African American, a young boy asks me (a Black woman) if I could give him information about becoming a doctor. He knows I am slated to go to medical school early the next year and has always wanted to become a surgeon. I’m delighted and give him lots of information. The next day I am told to go to the office.","['xs', 'race', 'education', 'class']","While working as a tutor at a charter high school that is predominantly African American, a young boy asks me (a Black woman) if I could give him information about becoming a doctor. He knows I am slated to go to medical school early the next year and has always wanted to become a surgeon. I’m delighted and give him lots of information. The next day I am told to go to the office.
The director of the tutoring program (a white woman) was angry that I would tell a young student of a charter school to go into an “academic,” field of study. When I asked why, she says, “We don’t want to give them false hope. Many of them are lucky to get into a technical field, like HVAC or refrigeration. Why should we give them a false sense of security that they can survive the rigors of college?” I was floored, stunned and angry.",
"On Friday evening, after the second suspect in the Boston marathon bombings had been caught, President Obama took to a podium, and said the following:","['meta', 'race', 'religion']","On Friday evening, after the second suspect in the Boston marathon bombings had been caught, President Obama took to a podium, and said the following:
That American spirit includes staying true to the unity and diversity that makes us strong — like no other nation in the world. In this age of instant reporting and tweets and blogs, there’s a temptation to latch on to any bit of information, sometimes to jump to conclusions. But when a tragedy like this happens, with public safety at risk and the stakes so high, it’s important that we do this right. That’s why we have investigations. That’s why we relentlessly gather the facts. That’s why we have courts. And that’s why we take care not to rush to judgment — not about the motivations of these individuals; certainly not about entire groups of people.
The thing is: people actually had jumped to conclusions, fueling both suspicion and violence across the country. Multiple social networks and communities on the internet began to conduct their own searches for suspects in photographs. Most of these “suspects” turned out to be brown people with bags. Some people were identified solely by color or by supposed nationality. Some people were identified by name, and their names spread publicly and quickly, without hesitation. Worst of all, real people were attacked. Subtle and open aggression powerfully shaped lives this week.
We know that the creation of unsafe conditions for people of color, immigrants, Muslims – among others – does not appear out of thin air, informed by rationality or reality. They are a product of power and fear. Every geopolitical event of this sort has put whole communities on edge, anxious about the backlash against them. And while hate crimes get documented, the more subtle interactions of fear and hostility can slip through.
All week, from the coming Monday to Friday, we hope to publish submissions of incidents related to the recent attacks experienced by South Asians, Muslims, immigrants, and people of color. For this, we are asking for your help.
If you have experienced an incident of this type, please submit your story to submissions@microaggressions.com. There are no limits on length or format. (Please put “week” into the subject of your email; they’ll be forwarded directly to editors, who will put them up as soon as they can.)
If you have not experienced an incident of this type, we ask that you share this with people you know. Use Twitter, Facebook, and any other social networks to spread the word!
Thanks for everything,Editors",
"Last year at the office party, the people in charge of preparing name tags for the party hadn’t made one for my wife although she was clearly listed as my spouse in the office directory and it was my third year on the job (all three years with my spouse). Straight friends who were had been dating for a year or less had name tags for their partners, and other homosexual partners were in the same boat as me and my partner–no name tag. Fast forward one year: when RSVPing to this year’s party, I make a special request for my wife to receive a name tag and point out the discrimination last year. The person in charge of name tags writes back: “How could you attack me like this? Please don’t turn this into a ‘straight-gay’ thing. It was just an oversight.”","['xs', 'sexuality']","Last year at the office party, the people in charge of preparing name tags for the party hadn’t made one for my wife although she was clearly listed as my spouse in the office directory and it was my third year on the job (all three years with my spouse). Straight friends who were had been dating for a year or less had name tags for their partners, and other homosexual partners were in the same boat as me and my partner–no name tag. Fast forward one year: when RSVPing to this year’s party, I make a special request for my wife to receive a name tag and point out the discrimination last year. The person in charge of name tags writes back: “How could you attack me like this? Please don’t turn this into a ‘straight-gay’ thing. It was just an oversight.”",
"In my office I have a photo of myself and my family from my high school graduation (I’m now in my mid 20’s). My advising professor (I’m a sociology graduate student) saw the photo, looked at me, and said, “Wow, what happened?” Then quickly corrected himself saying that I looked fine now, but just less “girly.”","['xs', 'gender', 'body']","In my office I have a photo of myself and my family from my high school graduation (I’m now in my mid 20’s). My advising professor (I’m a sociology graduate student) saw the photo, looked at me, and said, “Wow, what happened?” Then quickly corrected himself saying that I looked fine now, but just less “girly.”",
"I recently bought a house with my husband. We need to replace the septic tank. I filled out paperwork with the county and our septic contractor. Despite my name and signature being on all the forms, the approved permit came back with my husband’s name listed as the “applicant” and “home owner.” My name was no where on the permit. I’ll add this to the list: other people automatically put his name first on forms, deeds, and contracts. They mail things that pertain to both of us just to my husband. My least favorite? Everyone addresses me as “Mrs. Husband’s Name.” A long list of ways your identity can be erased and diminished because you’re married.","['xs', 'gender']","I recently bought a house with my husband. We need to replace the septic tank. I filled out paperwork with the county and our septic contractor. Despite my name and signature being on all the forms, the approved permit came back with my husband’s name listed as the “applicant” and “home owner.” My name was no where on the permit. I’ll add this to the list: other people automatically put his name first on forms, deeds, and contracts. They mail things that pertain to both of us just to my husband. My least favorite? Everyone addresses me as “Mrs. Husband’s Name.” A long list of ways your identity can be erased and diminished because you’re married.",
"My sister was buying pads at the grocery store, as she was standing in line an older man blatantly glares at her, mouth open in disgust.","['xs', 'gender']","My sister was buying pads at the grocery store, as she was standing in line an older man blatantly glares at her, mouth open in disgust.",
"I work as a teacher on a Native reserve. Students are behind because of social reasons – lack of motivation, their parents are into drugs, drinking, are fighting, etc. I see this as a consequence of a history of white oppressors forcing the Natives onto reserves, and enacting cultural genocide. Most of the teachers are white, and one of my coworkers (white) is racist, but seems to be oblivious to that fact. This is very dangerous. He makes comments like “the school would be a lot better if the principal weren’t Native”, and “These kids are so stupid, it must be their genes”. And, without fail, every time I (Chinese) interact with him he subtly makes “chinky” eyes by pulling on the side of his eye.","['xs', 'race', 'macro', 'education']","I work as a teacher on a Native reserve. Students are behind because of social reasons – lack of motivation, their parents are into drugs, drinking, are fighting, etc. I see this as a consequence of a history of white oppressors forcing the Natives onto reserves, and enacting cultural genocide. Most of the teachers are white, and one of my coworkers (white) is racist, but seems to be oblivious to that fact. This is very dangerous. He makes comments like “the school would be a lot better if the principal weren’t Native”, and “These kids are so stupid, it must be their genes”. And, without fail, every time I (Chinese) interact with him he subtly makes “chinky” eyes by pulling on the side of his eye.",
"My co-worker went to Home Depot to buy a posthole digger to build a fence on her land. A teenaged male employee recommended that my coworker, who is in her fifties, buy the smaller posthole digger that was painted pink that they had available. She was furious– she needed to build a fence, not decorate her tool shed.","['xs', 'gender']","My co-worker went to Home Depot to buy a posthole digger to build a fence on her land. A teenaged male employee recommended that my coworker, who is in her fifties, buy the smaller posthole digger that was painted pink that they had available. She was furious– she needed to build a fence, not decorate her tool shed.",
"My six-year-old son is proud of his long hair and also prefers to wear pretty clothes even if they’re intended for girls. A woman sitting next to him at a craft event starts to talk to him and calls him a girl. When he replies that he isn’t a girl, she grimaces, turns away, and doesn’t talk to him the rest of the time. My son doesn’t seem to notice, but I silently watch every nuance of her reaction.","['xs', 'gender']","My six-year-old son is proud of his long hair and also prefers to wear pretty clothes even if they’re intended for girls. A woman sitting next to him at a craft event starts to talk to him and calls him a girl. When he replies that he isn’t a girl, she grimaces, turns away, and doesn’t talk to him the rest of the time. My son doesn’t seem to notice, but I silently watch every nuance of her reaction.",
"Because I’m predominately Black, and I articulate when I speak.","['xs', 'race']",“You act (or “are trying to act”) white.”,You act (or “are trying to act”) white.
,"['xs', 'sexuality', 'gender']","“Oh my god, aren’t guys who aren’t manly ashamed of themselves? Don’t they want to be *men*?! I mean, gay guys can dress however they want, but straight guys in skinny jeans or sparkly shirts? It’s just gross.”","Oh my god, aren’t guys who aren’t manly ashamed of themselves? Don’t they want to be *men*?! I mean, gay guys can dress however they want, but straight guys in skinny jeans or sparkly shirts? It’s just gross."
My friend when writing her medical school application essays- she didn’t know that I was raped the year before when studying abroad.,"['xs', 'race', 'survivor', 'class']","“I’m supposed to write my statement of diversity– but I’m not a minority, I wasn’t poor growing up, I’ve never been raped…”","I’m supposed to write my statement of diversity– but I’m not a minority, I wasn’t poor growing up, I’ve never been raped…"
"During a meeting I had set up with my middle-aged white female English Composition professor to discuss some issues I had with her essay prompts (vague or conflicting directions, mostly), she cut me off and said, “Well, you know, the University education ISN’T for everyone. You might want to consider your alternatives, like trade school or the military.” When I asked her what she meant, she replied, “If THIS class is too difficult for you, then you’re DEFINITELY not going to be able pass any of your other courses, which will also be in English.”","['xs', 'race', 'education', 'class']","During a meeting I had set up with my middle-aged white female English Composition professor to discuss some issues I had with her essay prompts (vague or conflicting directions, mostly), she cut me off and said, “Well, you know, the University education ISN’T for everyone. You might want to consider your alternatives, like trade school or the military.” When I asked her what she meant, she replied, “If THIS class is too difficult for you, then you’re DEFINITELY not going to be able pass any of your other courses, which will also be in English.”",
"a white, female friend’s comment on a picture of me (fairly dark Filipino male) holding one of my best friend’s 6-month-old son (white, blond, blue eyes) that I had posted on FB.","['xs', 'race']",“Did you steal that baby?!? It looks terrified!”,Did you steal that baby?!? It looks terrified!
"I was told by my sixth grade math teacher that I had better marry a rich man, because I would never be good at math. I have secretly disliked math ever since, but now I am a teacher and make the conscious decision to empower all of my students every day.","['xs', 'gender']","I was told by my sixth grade math teacher that I had better marry a rich man, because I would never be good at math. I have secretly disliked math ever since, but now I am a teacher and make the conscious decision to empower all of my students every day.",
"I’m in the doctor’s office with my female partner. I am also female. I’ve just been diagnosed with a life long, incurable chronic illness. This is our first visit to this doctor, and while I have this illness, I would still be able to give birth to healthy children. He looks at me, looks at my partner, then back to me and says, “I’m putting down that you won’t be having children.” I said, “No, actually, I plan on giving birth in the next few years.” He said, “Well, I figure that…well…” and then he looks at my female partner again, like, we’re gay women, so naturally, we don’t plan on having kids. Then he goes on to recommend a treatment for a woman who does not plan on birthing babies.","['xs', 'sexuality', 'gender']","I’m in the doctor’s office with my female partner. I am also female. I’ve just been diagnosed with a life long, incurable chronic illness. This is our first visit to this doctor, and while I have this illness, I would still be able to give birth to healthy children. He looks at me, looks at my partner, then back to me and says, “I’m putting down that you won’t be having children.” I said, “No, actually, I plan on giving birth in the next few years.” He said, “Well, I figure that…well…” and then he looks at my female partner again, like, we’re gay women, so naturally, we don’t plan on having kids. Then he goes on to recommend a treatment for a woman who does not plan on birthing babies.",
complete with airquotes,"['xs', 'sexuality']",“So how long has she been “married”?”,So how long has she been “married”?
Twice in one night!,"['xs', 'gender', 'trans*']","Twice in one night!
While attending a coworker’s birthday party at a club, my wife has to pay a cover charge while the rest of the women in our group get in free. My wife is transgender. My coworkers refuse our suggestion to go instead to the gay bar down the street where we can all get in for free and be respected.
If that isn’t bad enough, this particular club has poles where people can dance. Several of my female coworkers and I all dance a little bit at some point. Then at the table across from us, a man gets up and begins dancing on one of the poles. A bouncer tells him to get down immediately. After witnessing this, I ask the employees if there was a problem with that man. He tells me no, but only women are allowed to dance on the poles.",
"I am a graduate student taking a required methods course, and today we had a guest lecture from a well known, white male professor that studies Japan. He said academic work produced outside of Japan by non-Japanese is not always taken seriously, and related this to the following Samuel Johnson joke, which he said sometimes comes up in reference to female academics: “A woman’s preaching is like a dog’s walking on his hind legs. It is not done well; but you are surprised to find it done at all.” He said it’s an old, misogynistic quote, but he said it nonetheless.","['xs', 'gender', 'nationality']","I am a graduate student taking a required methods course, and today we had a guest lecture from a well known, white male professor that studies Japan. He said academic work produced outside of Japan by non-Japanese is not always taken seriously, and related this to the following Samuel Johnson joke, which he said sometimes comes up in reference to female academics: “A woman’s preaching is like a dog’s walking on his hind legs. It is not done well; but you are surprised to find it done at all.” He said it’s an old, misogynistic quote, but he said it nonetheless.",
"I am the only female attending a trade show with all older white men in my company. One of the men–not my boss–sends me out of a meeting to fetch bottles of water “for the guys” from the vending area. Hands me some cash–only enough to buy bottles for the three men. Not only have I been asked to perform serving duties, I am then excluded from the meeting and made to feel like I’m not part of the team. I’m so taken aback by the manner of the request that I just do it, fuming inside. Humiliating.","['xs', 'gender']","I am the only female attending a trade show with all older white men in my company. One of the men–not my boss–sends me out of a meeting to fetch bottles of water “for the guys” from the vending area. Hands me some cash–only enough to buy bottles for the three men. Not only have I been asked to perform serving duties, I am then excluded from the meeting and made to feel like I’m not part of the team. I’m so taken aback by the manner of the request that I just do it, fuming inside. Humiliating.",
"When my family moved from Nigeria to America, the elementary school I was to attend forcibly held me back to repeat a grade despite my outstanding test scores. Also, one my first day of school my fourth grade teacher asked a class mate to show me the way to the library and to specifically show me the picture book section.","['xs', 'race', 'nationality']","When my family moved from Nigeria to America, the elementary school I was to attend forcibly held me back to repeat a grade despite my outstanding test scores. Also, one my first day of school my fourth grade teacher asked a class mate to show me the way to the library and to specifically show me the picture book section.",
"From a relatively unknown person from my martial arts class. Besides that the condition of my body hair has nothing to do with her, it really angered me how she implied that lesbianism was something very undesirable.","['xs', 'gender', 'sexuality', 'body']","“I think you should shave your legs, because it makes you look like a lesbian.”","I think you should shave your legs, because it makes you look like a lesbian."
"One day my friend (Bengali) and I (Dominican American) went to the mall. We walked into a MAC store and a white lady approached us and asked us “Where are you guys from?” “You guys look exotic.” Me and my friend were not sure what she meant by that statement, but I was really confused. I thought about the term “exotic” and I thought to myself, “Am I some kind of weird looking creature?” I’m not sure why people describe foreigners or non-white people as “exotic.” I personally find it quite disturbing.","['xs', 'race']","One day my friend (Bengali) and I (Dominican American) went to the mall. We walked into a MAC store and a white lady approached us and asked us “Where are you guys from?” “You guys look exotic.” Me and my friend were not sure what she meant by that statement, but I was really confused. I thought about the term “exotic” and I thought to myself, “Am I some kind of weird looking creature?” I’m not sure why people describe foreigners or non-white people as “exotic.” I personally find it quite disturbing.",
"Some girl asked me today if I played sports? I just said No because I didn’t feel like talking. After she replied, “But your tall, big and black, doesn’t every big black person at this school play some type of sport”","['xs', 'race']","Some girl asked me today if I played sports? I just said No because I didn’t feel like talking. After she replied, “But your tall, big and black, doesn’t every big black person at this school play some type of sport”",
Today I heard this dude go up to this Chinese kid and say you must be in Calculus cause your Chinese. All Chinese people are good with numbers aren’t they?,"['xs', 'race', 'ethnicity']",Today I heard this dude go up to this Chinese kid and say you must be in Calculus cause your Chinese. All Chinese people are good with numbers aren’t they?,
Security guard as he looks into my small pursue (that can barely hold my cellphone).,"['xs', 'race', 'religion', 'ethnicity']",“Where is the bomb?”,Where is the bomb?
"My girlfriend and I are walking to her apartment at night, holding hands and huddling close because it’s super rainy and cold. A young white male driving alone slows down and hangs his upper body out the window (still driving), and yells “LESBIANS!” with a stupid grin on his face. I identify as fluid, my girlfriend doesn’t currently identify as anything. I want so badly for him to hit something when he’s not looking at the road. A couple nights later we are walking to my place, holding hands, when a girl walks by opposite us and flips us off while she’s talking on the phone. What is wrong with people?","['xs', 'sexuality']","My girlfriend and I are walking to her apartment at night, holding hands and huddling close because it’s super rainy and cold. A young white male driving alone slows down and hangs his upper body out the window (still driving), and yells “LESBIANS!” with a stupid grin on his face. I identify as fluid, my girlfriend doesn’t currently identify as anything. I want so badly for him to hit something when he’s not looking at the road. A couple nights later we are walking to my place, holding hands, when a girl walks by opposite us and flips us off while she’s talking on the phone. What is wrong with people?",
"I have Aspergers’ Syndrome but I have gotten a lot better at socialising over the years. I was out drinking with some other people my age, thinking it was going well, there was even a girl flirting with me. At one point, this other girl asks me out of the blue if I’m “gay or metrosexual”. “Neither,” I reply, “Why did you think that?” She explains that she noticed I talk very quickly and often appeared nervous or lost for words with the girl who was flirting with me. I reveal that I have Aspergers’ Syndrome and pointing at me she delightedly yells, “I knew it was something!”","['xs', 'mind']","I have Aspergers’ Syndrome but I have gotten a lot better at socialising over the years. I was out drinking with some other people my age, thinking it was going well, there was even a girl flirting with me. At one point, this other girl asks me out of the blue if I’m “gay or metrosexual”. “Neither,” I reply, “Why did you think that?” She explains that she noticed I talk very quickly and often appeared nervous or lost for words with the girl who was flirting with me. I reveal that I have Aspergers’ Syndrome and pointing at me she delightedly yells, “I knew it was something!”",
Got interim back today and a couple white students looked and saw that I have a higher grade than them and proceed to tell me I’m not really black because I make good grades,"['xs', 'race']",Got interim back today and a couple white students looked and saw that I have a higher grade than them and proceed to tell me I’m not really black because I make good grades,
"I’m a part-time personal assistant in NYC and the guy I work for was telling the head of the company about his return to Rockaway this weekend to help out with hurricane recovery. “They finally have power back but some of the buildings are just all mud, so we helped a building super clean out the mud.” Head of the company: “Did any of the residents help you? Or were they all old or - [lowers her voice] - did they not give a shit?”","['xs', 'class']","I’m a part-time personal assistant in NYC and the guy I work for was telling the head of the company about his return to Rockaway this weekend to help out with hurricane recovery. “They finally have power back but some of the buildings are just all mud, so we helped a building super clean out the mud.” Head of the company: “Did any of the residents help you? Or were they all old or - [lowers her voice] - did they not give a shit?”",
"Almost all of the surveys people send out from my university ask for your gender. And almost all of them present is as: What is your gender? Male Female Every time, I have to tell them you list my sex, but not my gender. What do you want me to do? So unbelievably frustrating.","['xs', 'sex', 'gender', 'genderqueer', 'trans*']","Almost all of the surveys people send out from my university ask for your gender. And almost all of them present is as: What is your gender? Male Female Every time, I have to tell them you list my sex, but not my gender. What do you want me to do? So unbelievably frustrating.",
"I was in Manhattan around 47th street standing at the corner waiting for a taxi, the taxi pulls up and he says “I am not going to Brooklyn, Sorry”. I proceed and get into the taxi and promptly tell him am going just to Park Avenue and ask him why he thinks am going to Brooklyn and why he is making assumptions. He basically stammers through some kind of explanation trying to blame it on the traffic, it was 11p.m) and he proceeds to try and apologize. He was from Pakistan too.","['xs', 'race']","I was in Manhattan around 47th street standing at the corner waiting for a taxi, the taxi pulls up and he says “I am not going to Brooklyn, Sorry”. I proceed and get into the taxi and promptly tell him am going just to Park Avenue and ask him why he thinks am going to Brooklyn and why he is making assumptions. He basically stammers through some kind of explanation trying to blame it on the traffic, it was 11p.m) and he proceeds to try and apologize. He was from Pakistan too.",
"Today I was doing some volunteering at a little Red Cross shop in Sydney, Australia. I’m born and raised in Australia. I have Persian heritage and have an olive complexion. A lady was looking around and saw some little Thai dancing statues. She looked over at me and said “Are these from your homeland? India?” I am shy and became easily lost for words and she assumed I couldn’t speak English. The manager told her quickly that I am Australian. She was trying to be friendly but she seemed pretty clueless. It’s as if she’d never seen a non-white person before.","['xs', 'race', 'nationality']","Today I was doing some volunteering at a little Red Cross shop in Sydney, Australia. I’m born and raised in Australia. I have Persian heritage and have an olive complexion. A lady was looking around and saw some little Thai dancing statues. She looked over at me and said “Are these from your homeland? India?” I am shy and became easily lost for words and she assumed I couldn’t speak English. The manager told her quickly that I am Australian. She was trying to be friendly but she seemed pretty clueless. It’s as if she’d never seen a non-white person before.",
"I am asked by my white, cisgender, heterosexual, male housemate to help him buy some lab supplies with my student ID at my college. I oblige and bust-ass in the middle of my busy day to meet him. I am a transgender half mexican genderqueer, i do not go by my legal name. We proceed to the check out for his precious petri-dishes and test-tubes and I am asked for my student ID number and then my name. I ask if they need my legal name, they say “yes”. With burning cheeks I utter, “unfortunately my name is —-.” My housemate, pays no mind as i humiliate myself with my ultra-shitty name, and goes on picking out things from the free-shelf. He has no idea that the cost of his lab supplies was more than $17 dollars. It was with the additional price of my privacy.","['xs', 'trans*', 'genderqueer']","I am asked by my white, cisgender, heterosexual, male housemate to help him buy some lab supplies with my student ID at my college. I oblige and bust-ass in the middle of my busy day to meet him. I am a transgender half mexican genderqueer, i do not go by my legal name. We proceed to the check out for his precious petri-dishes and test-tubes and I am asked for my student ID number and then my name. I ask if they need my legal name, they say “yes”. With burning cheeks I utter, “unfortunately my name is —-.” My housemate, pays no mind as i humiliate myself with my ultra-shitty name, and goes on picking out things from the free-shelf. He has no idea that the cost of his lab supplies was more than $17 dollars. It was with the additional price of my privacy.",
"It’s dark. I’m walking home alone. A white guy comes towards me. We near each other and I tense, but I square my shoulders and stand tall. Just as I think I’ll be ignored, he jerks his head towards me and yells, “Nihao! Aiyaiyaiyai!” I jump. Part of me wants to yell back but fear takes over and I don’t (I never do). I AM Chinese, and English is my first language. My command of English is good enough for the courts of England and Wales. Yet, every other day someone goes out of their way to fling nonsensical words in a variety of languages I don’t even speak, in my direction.","['xs', 'race', 'nationality']","It’s dark. I’m walking home alone. A white guy comes towards me. We near each other and I tense, but I square my shoulders and stand tall. Just as I think I’ll be ignored, he jerks his head towards me and yells, “Nihao! Aiyaiyaiyai!” I jump. Part of me wants to yell back but fear takes over and I don’t (I never do). I AM Chinese, and English is my first language. My command of English is good enough for the courts of England and Wales. Yet, every other day someone goes out of their way to fling nonsensical words in a variety of languages I don’t even speak, in my direction.",
"I received my voter registration card in the mail and realized that under race it said “Hispanic” instead of “Asian”. I checked my drivers license and there is nothing regarding my race. Clearly, the state of South Carolina decided to label me by my last name and picture.","['xs', 'race']","I received my voter registration card in the mail and realized that under race it said “Hispanic” instead of “Asian”. I checked my drivers license and there is nothing regarding my race. Clearly, the state of South Carolina decided to label me by my last name and picture.",
"At the Grand Ole Opry hotel in Nashville TN, facilitating a conference. While navigating this huge and confusing hotel, I stopped to read the signs, probably with a dumbfounded look on my face. Two elderly, silver-haired, and very polite white women asked me (49 y/o, black man, Mississippi born and raised, PhD student), “Can you read?” I responded, “Yes, ma'am, very well.” When these things happen, I always have a better response…once the moment is gone.","['xs', 'race']","At the Grand Ole Opry hotel in Nashville TN, facilitating a conference. While navigating this huge and confusing hotel, I stopped to read the signs, probably with a dumbfounded look on my face. Two elderly, silver-haired, and very polite white women asked me (49 y/o, black man, Mississippi born and raised, PhD student), “Can you read?” I responded, “Yes, ma'am, very well.” When these things happen, I always have a better response…once the moment is gone.",
"I am a graduate student and I work with several post-docs in my research group. One particular post-doc told me that as a young female student, I should be doing all of the cleaning and organizing in the laboratory. When I explained to him (and my supervisor) that his comments were offensive, he replied with “I grew up with four sisters, I’m not biased.”","['xs', 'gender']","I am a graduate student and I work with several post-docs in my research group. One particular post-doc told me that as a young female student, I should be doing all of the cleaning and organizing in the laboratory. When I explained to him (and my supervisor) that his comments were offensive, he replied with “I grew up with four sisters, I’m not biased.”",
My “health” teacher tells the class that “Being gay is a choice.”,"['xs', 'sexuality']",My “health” teacher tells the class that “Being gay is a choice.”,
"Today at the elementary school where I work: A kid on the phone w/ a parent, was speaking a different language, is asked by a (white male) staff “Are you talking to someone or just making noises?” and proceeds to laugh and looks over at me and the person sitting next to me, as if he wanted us to laugh along with him. So I look him dead in the face like -____- (with no laughter) and turned to the person sitting next to me and said loud and clear “do you know what Microaggression is!?”","['xs', 'nationality', 'race']","Today at the elementary school where I work: A kid on the phone w/ a parent, was speaking a different language, is asked by a (white male) staff “Are you talking to someone or just making noises?” and proceeds to laugh and looks over at me and the person sitting next to me, as if he wanted us to laugh along with him. So I look him dead in the face like -____- (with no laughter) and turned to the person sitting next to me and said loud and clear “do you know what Microaggression is!?”",
Was just told that it was awesome seeing “someone like you” singing along to my brother Jeff karaokeing Springsteen’s “Born to Run.” Thanks for reminding me how much I have to let slide on a daily basis.,"['xs', 'race', 'sexuality']",Was just told that it was awesome seeing “someone like you” singing along to my brother Jeff karaokeing Springsteen’s “Born to Run.” Thanks for reminding me how much I have to let slide on a daily basis.,
,"['xs', 'gender', 'class']",“You’ll have to marry a rich man if you want to afford that!”,You’ll have to marry a rich man if you want to afford that!
Baby shower cards: On a pink background: “Beautiful Baby Girl!” On a blue background: “Brilliant Baby Boy!” Really?,"['gender', 'xs']",Baby shower cards: On a pink background: “Beautiful Baby Girl!” On a blue background: “Brilliant Baby Boy!” Really?,
"In my high school weightlifting class, I wore the typical tshirt and workout shorts. My teacher stopped me in the hall one day before class and told me I needed to wear long shorts or pants because I was distracting my male classmates. He basically told me it was my responsibility to keep guys from looking at me in a disrespectful manner!","['gender', 'xs']","In my high school weightlifting class, I wore the typical tshirt and workout shorts. My teacher stopped me in the hall one day before class and told me I needed to wear long shorts or pants because I was distracting my male classmates. He basically told me it was my responsibility to keep guys from looking at me in a disrespectful manner!",
"I am on a date with a White guy, and it’s my very first date, ever. I’m nervous because I think he’s gorgeous. He tells me that I’m pretty for a Black girl. ) :","['race', 'gender', 'xs']","I am on a date with a White guy, and it’s my very first date, ever. I’m nervous because I think he’s gorgeous. He tells me that I’m pretty for a Black girl. ) :",
My high school US History class.,"['xs', 'religion']","“Wow, don’t get the Muslim mad guys! We don’t want to come to a blown up school tomorrow!”","Wow, don’t get the Muslim mad guys! We don’t want to come to a blown up school tomorrow!"
I heard that some guy who goes to my uni (who I don’t even know) refers to my friendship group as ‘Eastern Promises’.,"['xs', 'race']","I heard that some guy who goes to my uni (who I don’t even know) refers to my friendship group as ‘Eastern Promises’.
I’m tired of being pigeonholed into an identity that white people create.",
"I’m sitting in my high-school chemistry class, and my teacher, a white man, wanting me to state my answer to a problem, calls out some heinous mispronunciation of my phonetically-spelled Arabic surname. I correct him, my cheeks flushing. My classmates, mostly white, smirk. He makes the same mistake again, moments later. I correct him again. That was his response.I am so, so sorry that my name is more important to me than some easy-ass worksheet.","['xs', 'race']","“If you cared less about that, and more about the concepts, maybe you would have gotten your homework done.”","If you cared less about that, and more about the concepts, maybe you would have gotten your homework done."
"My mother, on Beyonce, at home in the kitchen. I felt shocked, now i don’t know what to expect from her.","['xs', 'gender']",“I didn’t watch the halftime show because she dances like a slut.”,I didn’t watch the halftime show because she dances like a slut.
